Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2011
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 783,5	99,8	24 466	102,4	3 916,6	99,9	23 634	102,2
z toho	A - Zemìdìlství, lesnictví, rybáøství	103,6	98,3	18 622	102,9	105,3	97,7	18 318	103,5
	B - Tìba a dobıvání	34,0	94,4	31 570	104,0	34,2	94,7	31 440	103,9
	C - Zpracovatelskı prùmysl	1 064,7	102,0	23 798	103,5	1 077,2	101,8	23 521	103,7
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	29,7	101,7	40 187	101,2	30,0	101,4	39 812	101,7
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	50,4	101,6	23 250	101,0	51,3	101,4	22 849	101,2
	F - Stavebnictví	239,9	93,8	22 828	102,0	242,9	93,6	22 542	102,2
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	485,8	99,2	22 946	103,9	506,9	99,5	21 990	103,6
	H - Doprava a skladování	248,9	98,8	23 026	100,1	252,4	98,7	22 714	100,2
	I - Ubytování, stravování a pohostinství	113,9	100,4	13 353	100,7	120,4	101,3	12 632	99,7
	J - Informaèní a komunikaèní èinnosti	94,8	99,6	45 761	105,2	97,2	99,7	44 653	105,1
	K - Penìnictví a pojišovnictví	70,6	100,4	47 378	103,8	72,3	100,4	46 273	103,9
	L - Èinnosti v oblasti nemovitostí	41,5	97,0	22 101	104,8	43,9	97,3	20 890	104,5
	M - Profesní, vìdecké a technické èinnosti	147,2	98,9	32 441	101,6	156,1	99,8	30 583	100,7
	N - Administrativní a podpùrné èinnosti	148,0	105,4	16 564	102,1	158,1	107,3	15 507	100,3
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	279,2	96,1	26 259	97,0	283,3	95,9	25 877	97,1
	P - Vzdìlávání	271,5	101,8	23 505	100,7	299,6	101,5	21 296	100,9
	Q - Zdravotní a sociální péèe	267,0	99,6	24 829	105,4	284,7	100,2	23 288	104,7
	R - Kulturní, zábavní a rekreaèní èinnosti	49,1	100,2	19 786	99,3	52,6	101,7	18 466	97,7
	S - Ostatní èinnosti	43,9	96,3	19 319	104,9	48,4	97,2	17 510	103,9
