Prùmìrné hrubé mìsíèní mzdy podle klasifikace zamìstnání v krajích										
										
									Období	2010
									Mìøicí jednotka	Kè
										
	Hrubá mìsíèní mzda celkem	z toho mzda pracovníkù podle hlavních tøíd KZAM								
		vedoucí a øídící	vìdeètí a odborní duševní	technici, zdravotníci a pedagogové	nižší administrativní	provozní ve službách a obchodì	dìlníci v zemìdìlství, lesnictví 	kvalifikov.dìlníci, výrobci	obsluha strojù a zaøízení	pomocní, nekvalifikovaní
Èeská republika	26 881	55 550	36 192	29 148	21 352	16 300	17 773	22 043	21 263	14 526
Hlavní mìsto Praha	36 124	78 422	44 455	34 700	24 703	18 292	20 874	25 805	24 291	15 694
Støedoèeský kraj	27 001	55 563	33 501	30 333	21 852	16 462	18 041	24 121	22 744	15 447
Jihoèeský kraj	23 418	45 375	30 702	26 561	19 470	15 357	17 935	19 739	19 986	13 495
Plzeòský kraj	25 482	48 368	32 615	27 837	22 624	16 467	18 372	22 745	21 743	15 500
Karlovarský kraj	22 498	39 407	29 509	26 699	19 946	17 272	14 450	20 853	20 053	14 890
Ústecký kraj	24 874	49 500	32 950	27 405	20 284	15 438	15 818	21 786	21 760	14 606
Liberecký kraj	25 089	48 475	32 302	28 092	20 580	16 950	16 195	22 821	21 428	14 631
Královéhradecký kraj	23 950	48 072	30 650	26 974	19 876	16 638	18 425	20 662	20 166	14 893
Pardubický kraj	23 537	44 077	29 988	26 519	20 239	15 520	19 822	19 920	19 415	14 561
Vysoèina	23 944	45 193	30 482	26 877	19 523	15 341	18 986	21 451	20 268	14 733
Jihomoravský kraj	26 223	52 687	35 068	28 384	20 512	15 593	16 677	21 472	20 647	14 097
Olomoucký kraj	23 997	45 261	31 427	25 973	19 073	15 819	17 342	20 569	20 584	14 451
Zlínský kraj	23 219	43 570	31 041	25 755	18 685	14 564	16 087	20 452	20 281	13 802
Moravskoslezský kraj	24 554	46 882	31 401	27 173	18 988	15 033	16 589	23 044	21 826	13 946
