currency,nace_r2,lcstruct,geo\time	2000 	2004 	2008 	2012 	2013 	2014 
EUR,B-S_X_O,D,AT	: 	25.2 	26.4 	29.7 	30.5 	31.5 p
EUR,B-S_X_O,D,BE	27.0 	29.2 	32.9 	38.0 	38.8 	39.0 p
EUR,B-S_X_O,D,BG	1.3 	1.6 	2.6 	3.4 	3.7 p	3.8 p
EUR,B-S_X_O,D,CY	11.0 	12.6 	16.7 	16.8 	16.3 	15.8 p
EUR,B-S_X_O,D,CZ	3.7 	5.8 	9.2 	10.0 	9.8 	9.4 
EUR,B-S_X_O,D,DE	24.6 	26.8 	27.9 	30.5 	31.0 	31.4 
EUR,B-S_X_O,D,DK	27.0 	29.6 	34.6 	39.4 	39.9 	40.3 
EUR,B-S_X_O,D,EA17	: 	23.5 	25.7 	: 	: 	: 
EUR,B-S_X_O,D,EA18	: 	23.3 	25.5 	28.5 	28.9 	29.2 
EUR,B-S_X_O,D,EE	2.9 	4.3 	7.8 	8.6 	9.2 	9.8 
EUR,B-S_X_O,D,EL	11.7 	15.3 	16.7 	15.7 	14.6 	14.6 
EUR,B-S_X_O,D,ES	14.3 	16.5 	19.4 	21.1 	21.2 	21.3 p
EUR,B-S_X_O,D,EU27	: 	: 	21.6 	: 	: 	: 
EUR,B-S_X_O,D,EU28	16.7 	19.8 	21.5 	23.9 	24.2 	24.6 
EUR,B-S_X_O,D,FI	22.1 	24.4 	27.1 	31.3 	31.9 p	32.3 p
EUR,B-S_X_O,D,FR	: 	28.2 	31.2 	34.3 	34.3 	34.6 p
EUR,B-S_X_O,D,HR	: 	6.9 	9.2 	9.5 	9.5 	9.4 
EUR,B-S_X_O,D,HU	3.6 	5.9 	7.8 	7.4 	7.4 p	7.3 p
EUR,B-S_X_O,D,IE	19.7 	25.5 	28.9 	29.8 	29.8 	29.8 p
EUR,B-S_X_O,D,IT	19.7 	22.4 	25.2 	27.7 	28.1 	28.3 
EUR,B-S_X_O,D,LT	2.6 	3.2 	5.9 	5.9 	6.2 	6.5 
EUR,B-S_X_O,D,LU	23.1 	30.3 	31.0 	33.9 	35.0 	35.9 
EUR,B-S_X_O,D,LV	2.2 p	2.9 	6.0 	5.9 	6.2 p	6.6 
EUR,B-S_X_O,D,MT	7.9 p	9.6 	11.4 	11.8 	12.1 p	12.3 p
EUR,B-S_X_O,D,NL	23.0 	27.3 	29.8 	32.5 	33.5 p	34.0 p
EUR,B-S_X_O,D,NO	29.8 p	30.1 	37.8 	56.4 	56.3 p	54.0 p
EUR,B-S_X_O,D,PL	4.2 e	4.7 	7.6 	7.9 	8.1 	8.4 
EUR,B-S_X_O,D,PT	11.1 p	11.3 	12.2 	13.3 	13.2 p	13.1 p
EUR,B-S_X_O,D,RO	1.5 	1.9 	4.2 	4.1 	4.4 	4.6 p
EUR,B-S_X_O,D,SE	: 	29.0 	31.6 	37.3 	38.2 	37.4 p
EUR,B-S_X_O,D,SI	10.9 	11.2 	13.9 	15.6 	15.3 p	15.6 p
EUR,B-S_X_O,D,SK	2.8 	4.1 	7.3 	8.9 	9.2 p	9.7 p
EUR,B-S_X_O,D,UK	19.7 e	21.5 	20.9 	21.7 	20.9 	22.3 
EUR,B-S_X_O,D11,AT	: 	18.5 	19.5 	21.9 	22.5 	23.2 p
EUR,B-S_X_O,D11,BE	19.6 	20.6 	23.9 	27.4 	28.0 	28.2 p
EUR,B-S_X_O,D11,BG	0.9 	1.2 	2.1 	2.9 	3.1 p	3.2 p
