currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO0,AT	: 	: 	30551.0 	: 	27921.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,BE	: 	: 	: 	: 	: 	: 	29962.0 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,DK	49890.5 	45960.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,EL	: 	: 	: 	: 	: 	24946.1 	24122.4 	22542.6 	21202.9 	19840.2 	18594.1 	17571.1 	16463.0 	15490.1 
EUR,FT,F,ISCO0,FI	36274.0 	35041.0 	42334.0 	30281.0 	27785.0 	27406.0 	26327.0 	24616.8 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,IE	: 	: 	: 	31589.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,MT	: 	: 	: 	: 	: 	13429.6 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,RO	: 	: 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,SE	35826.5 	37282.3 	35670.5 	32446.7 	32192.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO0,SK	: 	6516.0 	5655.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO1,AT	50325.0 	41924.6 	44869.0 	44713.0 	40450.0 	40523.0 	41285.0 	38396.0 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO1,CY	57084.0 	54435.9 	54145.3 	54484.1 	49002.7 	47068.2 	42822.8 	39924.1 	38054.2 	36175.7 	36082.8 	33665.4 	: 	: 
EUR,FT,F,ISCO1,DE	58300.0 	56900.0 	55599.0 	54900.0 	54200.0 	53100.0 	51900.0 	50500.0 	49400.0 	48400.0 	46980.5 	45899.3 	46193.3 	: 
EUR,FT,F,ISCO1,DK	67654.8 	65469.0 	61247.2 	60320.4 	60547.3 	56143.8 	55080.2 	55525.3 	51857.3 	48679.0 	47522.4 	46482.0 	46381.6 	: 
EUR,FT,F,ISCO1,EL	: 	: 	: 	: 	: 	21418.7 	20856.6 	19711.6 	18720.2 	17687.2 	16737.2 	15969.9 	15254.8 	14492.5 
