currency,sizeclas,worktime,sex,nace_r2,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EUR,GE10,FT,F,B,BG	6037 	5382 	4878 	4388 	: 	: 	: 
EUR,GE10,FT,F,B,CH	: 	52875 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,B,DE	44700 p	43003 	42600 	42200 	41500 	40928 p	: 
EUR,GE10,FT,F,B,DK	68349 	53247 	53979 	54799 	: 	: 	: 
EUR,GE10,FT,F,B,EL	: 	: 	19110 	16568 	15584 	15117 	: 
EUR,GE10,FT,F,B,ES	: c	: c	: c	26977 	: 	: 	: 
EUR,GE10,FT,F,B,FI	38906 	37070 	34568 	33123 	: 	: 	: 
EUR,GE10,FT,F,B,FR	: 	34018 	33331 	: 	: 	: 	: 
EUR,GE10,FT,F,B,HU	14325 	11789 	10419 	10612 	: 	: 	: 
EUR,GE10,FT,F,B,IE	: 	: c	: c	: c	: 	: 	: 
EUR,GE10,FT,F,B,LV	7648 	6983 	7404 	6908 	: 	: 	: 
EUR,GE10,FT,F,B,MT	16711 	16272 u	18400 u	: 	: 	: 	: 
EUR,GE10,FT,F,B,NL	74158 	61724 	60518 	60832 	: 	: 	: 
EUR,GE10,FT,F,B,PT	16592 	16172 	15675 	: 	: 	: 	: 
EUR,GE10,FT,F,B,RO	10899 d	9968 e	8988 e	: 	: 	: 	: 
EUR,GE10,FT,F,B,SE	45178 	43147 	33529 	37183 	: 	: 	: 
EUR,GE10,FT,F,B,SK	9998 	10320 	10475 	10158 	: 	: 	: 
EUR,GE10,FT,F,B,UK	48615 	45968 	39142 	43982 	: 	: 	: 
EUR,GE10,FT,F,B-E,BG	3248 	3102 	2877 	2595 	: 	: 	: 
EUR,GE10,FT,F,B-E,CH	: 	45660 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,B-E,DE	36000 p	34661 	32900 	33100 	32100 	31257 p	: 
EUR,GE10,FT,F,B-E,DK	52889 	51264 	47850 	45157 	: 	: 	: 
EUR,GE10,FT,F,B-E,EL	: 	: 	22263 	20845 	20620 	18603 	: 
EUR,GE10,FT,F,B-E,ES	23969 	24109 	22858 	21933 	: 	: 	: 
EUR,GE10,FT,F,B-E,FI	42569 	36817 	36903 	34573 	: 	: 	: 
EUR,GE10,FT,F,B-E,FR	: 	31938 	30993 	: 	: 	: 	: 
EUR,GE10,FT,F,B-E,HU	8355 	8014 	7519 	7939 	: 	: 	: 
